"","Swear.Condition","Time.In.Cold.Water"
"1","Swear Word",55
"2","Swear Word",64
"3","Swear Word",70
"4","Swear Word",60
"5","Swear Word",54
"6","Swear Word",66
"7","Swear Word",48
"8","Swear Word",72
"9","Swear Word",63
"10","Swear Word",65
"11","Swear Word",51
"12","Swear Word",69
"13","Swear Word",68
"14","Swear Word",52
"15","Swear Word",58
"16","Swear Word",64
"17","Swear Word",50
"18","Swear Word",67
"19","Swear Word",55
"20","Swear Word",58
"21","Neutral Word",44
"22","Neutral Word",42
"23","Neutral Word",46
"24","Neutral Word",38
"25","Neutral Word",52
"26","Neutral Word",46
"27","Neutral Word",45
"28","Neutral Word",30
"29","Neutral Word",59
"30","Neutral Word",55
"31","Neutral Word",35
"32","Neutral Word",38
"33","Neutral Word",52
"34","Neutral Word",49
"35","Neutral Word",41
"36","Neutral Word",44
"37","Neutral Word",46
"38","Neutral Word",49
"39","Neutral Word",43
"40","Neutral Word",40
"41","Quiet",44
"42","Quiet",46
"43","Quiet",45
"44","Quiet",37
"45","Quiet",38
"46","Quiet",52
"47","Quiet",55
"48","Quiet",58
"49","Quiet",49
"50","Quiet",41
"51","Quiet",42
"52","Quiet",49
"53","Quiet",44
"54","Quiet",45
"55","Quiet",51
"56","Quiet",39
"57","Quiet",42
"58","Quiet",48
"59","Quiet",50
"60","Quiet",40
