"positive_feelings","fluffiness","animal"
37,67,"cat"
41,75,"cat"
49,70,"cat"
7,57,"cat"
39,72,"cat"
43,70,"cat"
36,74,"cat"
30,68,"cat"
31,72,"cat"
10,62,"cat"
29,62,"cat"
6,57,"cat"
22,62,"cat"
47,79,"cat"
38,70,"cat"
29,59,"cat"
32,76,"cat"
30,61,"cat"
24,54,"cat"
55,91,"cat"
43,76,"cat"
29,69,"cat"
19,59,"cat"
22,60,"cat"
18,62,"cat"
54,86,"cat"
63,80,"cat"
50,72,"cat"
31,58,"cat"
39,63,"cat"
28,63,"cat"
46,70,"cat"
63,75,"cat"
16,52,"cat"
35,77,"cat"
24,65,"cat"
45,74,"cat"
31,62,"cat"
34,78,"cat"
35,71,"cat"
61,76,"cat"
36,73,"cat"
17,57,"cat"
35,71,"cat"
29,70,"cat"
50,81,"cat"
27,65,"cat"
27,50,"cat"
32,71,"cat"
46,75,"cat"
43,14,"dog"
64,21,"dog"
70,22,"dog"
55,14,"dog"
69,11,"dog"
78,25,"dog"
68,22,"dog"
78,34,"dog"
54,19,"dog"
55,11,"dog"
70,21,"dog"
75,32,"dog"
63,23,"dog"
58,22,"dog"
75,31,"dog"
64,21,"dog"
69,28,"dog"
48,16,"dog"
68,18,"dog"
46,16,"dog"
76,32,"dog"
52,14,"dog"
59,34,"dog"
61,17,"dog"
84,41,"dog"
63,25,"dog"
61,24,"dog"
75,26,"dog"
71,28,"dog"
78,33,"dog"
45,10,"dog"
66,16,"dog"
54,7,"dog"
55,11,"dog"
85,22,"dog"
76,28,"dog"
86,29,"dog"
80,31,"dog"
68,24,"dog"
44,1,"dog"
62,20,"dog"
67,21,"dog"
51,12,"dog"
61,18,"dog"
80,24,"dog"
85,25,"dog"
74,34,"dog"
72,17,"dog"
56,14,"dog"
61,20,"dog"
