"","subject","pet","stress"
"1","1","Cat",42
"2","1","Dog",44
"3","1","No animal",65
"4","2","Cat",49
"5","2","Dog",43
"6","2","No animal",62
"7","3","Cat",47
"8","3","Dog",55
"9","3","No animal",61
"10","4","Cat",45
"11","4","Dog",34
"12","4","No animal",59
"13","5","Cat",38
"14","5","Dog",42
"15","5","No animal",51
"16","6","Cat",44
"17","6","Dog",50
"18","6","No animal",52
"19","7","Cat",46
"20","7","Dog",34
"21","7","No animal",48
"22","8","Cat",36
"23","8","Dog",53
"24","8","No animal",58
"25","9","Cat",51
"26","9","Dog",59
"27","9","No animal",58
"28","10","Cat",33
"29","10","Dog",45
"30","10","No animal",48
"31","11","Cat",43
"32","11","Dog",40
"33","11","No animal",48
"34","12","Cat",38
"35","12","Dog",46
"36","12","No animal",52
"37","13","Cat",41
"38","13","Dog",48
"39","13","No animal",43
"40","14","Cat",40
"41","14","Dog",53
"42","14","No animal",54
"43","15","Cat",27
"44","15","Dog",53
"45","15","No animal",59
"46","16","Cat",42
"47","16","Dog",37
"48","16","No animal",65
"49","17","Cat",52
"50","17","Dog",48
"51","17","No animal",64
"52","18","Cat",43
"53","18","Dog",43
"54","18","No animal",45
"55","19","Cat",55
"56","19","Dog",46
"57","19","No animal",81
"58","20","Cat",45
"59","20","Dog",48
"60","20","No animal",51
"61","21","Cat",38
"62","21","Dog",29
"63","21","No animal",57
"64","22","Cat",41
"65","22","Dog",33
"66","22","No animal",52
"67","23","Cat",40
"68","23","Dog",51
"69","23","No animal",66
"70","24","Cat",43
"71","24","Dog",51
"72","24","No animal",46
